State,Universal Purchase
Alabama,No
Alaska,Yes
Arizona,No
Arkansas,No
California,No
Colorado,No
Connecticut,Yes
Delaware,No
District of Columbia,No
Florida,No
Georgia,No
Hawaii,Yes
Idaho,Yes
Illinois,No
Indiana,No
Iowa,No
Kansas,No
Kentucky,No
Louisiana,No
Maine,Yes
Maryland,No
Massachusetts,Yes
Michigan,No
Minnesota,No
Mississippi,No
Missouri,No
Montana,No
Nebraska,No
New Hampshire,Yes
New Jersey,No
New Mexico,Yes
New York,No
Nevada,No
North Carolina,No
North Dakota,No
Ohio,No
Oklahoma,No
Oregon,No
Pennsylvania,No
Rhode Island,Yes
South Carolina,No
South Dakota,No
Tennessee,No
Texas,No
Utah,Yes
Vermont,Yes
Virginia,No
Washington ,Yes
West Virginia,No
Wisconsin,No
Wyoming,Yes

Puerto Rico,No

